left_context,delimiter,right_context,label
 cases,.,  The ,1
of § 3,.,304(f),0
r PTSD,:, 1) th,0
ervice,;, 2) a ,0
f PTSD,;, and 3,0
ressor,.," 

T",1
tivity,.,"""  For",0
f 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
device,;, vehic,0
device,;, incom,0
r fire,;, grena,0
renade,;, small,0
r fire,;, or at,0
horror,.,"

Ge",1
health,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 1,0
.S.C.A,., § 111,0
tected,.,  See ,1
agby v,., Derwi,0
 1 Vet,., App. ,0
t. App,.," 225, ",0
(1991),.,  The ,1
""" 38 C",.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(b),0
itions,.,"""  Id.",0
".""  Id",., at (b,0
(b)(1),.,"  

",1
ervice,.,  Gilb,1
bert v,., Shins,0
26 Vet,., App. ,0
t. App,., 48 (2,0
(2012),.,  Unde,1
ervice,.,  Id. ,1
e.  Id,.,"  

",1
denied,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 5,0
.S.C.A,., § 510,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.1,0
R. § 3,.,102 (2,0
(2014),;, Gilbe,0
bert v,., Derwi,0
 1 Vet,., App. ,0
t. App,., 49 (1,0
(1990),.," 

I",1
"

II",., Analy,1
sorder,.,  His ,1
sorder,.,"  

",1
normal,.,  His ,1
" of ""1",.,"""  See",0
orne v,., Princ,0
 3 Vet,., App. ,0
t. App,.," 456, ",0
vice)),.,  On t,1
y sort,.,"  

",1
normal,.,  His ,1
" of ""1",.,"""  On ",0
y sort,.,"  

",1
nation,.,  In a,1
" of ""1",.,"""  In ",0
trance,.,  Thus,1
sorder,.,"
Serv",1
ervice,.,  Foll,1
ilable,.,  In N,1
 worse,.,"  

",1
tments,.,  Alth,1
rouble,.,"

Wi",1
f PTSD,.,"  

",1
 (GAD),.,  Both,1
sorder,.,"  

",1
ietnam,.,  The ,1
as GAD,.,  Base,1
ervice,.,"

Re",1
 claim,.,  See ,1
e 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 5,0
.S.C.A,., § 510,0
107(b),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.1,0
R. § 3,.,102.  ,0
 3.102,.,  Cons,1
ranted,.," 

",1
ranted,.,"  

",1
cision,.,  The ,1
cision,.,  Subs,1
y 2013,.,  The ,1
 above,.,  Alth,1
lenged,.,  Thus,1
 state,.,  See ,1
ncon v,.," West,",0
12 Vet,., App. ,0
t. App,.," 238, ",0
(1999),.,"

As",1
isease,.,  He h,1
appeal,.,  As s,1
earing,.,"  

",1
ctions,:,"

1.",1
":

1",.,  Issu,1
 state,.,"  If, ",1
 Board,.,"

2.",1
".

2",.,  Also,1
isease,.,"  

",1
manded,.,  Kuts,1
usky v,.," West,",0
12 Vet,., App. ,0
t. App,., 369 (,0
(1999),.,"

Th",1
atment,.,  The ,1
manner,.,  See ,1
e 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 51,0
 2014),.,"


",1
RYAN T,., KESSE,0
ion Nr,:, 15343,0
n Date,:, 08/11,0
e Date,:, 08/20,0
KET NO,.,  13-1,0
ession,.,"


",1
ted by,:,	Veter,0
"D

M",., Elias,0
y 1991,.,"

Th",1
Kansas,.,"

Th",1
r 2013,.,  A tr,1
record,.,"

Se",1
s file,.,  They,1
tained,.,  Unde,1
r 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.1,0
R. § 3,.,156(c),0
 claim,.,  Here,1
merits,.,  See ,1
See id,.,"


",1
ervice,.,"


",1
en met,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 11,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. §§ ,0
 C.F.R,., §§ 3.,0
. §§ 3,.,"102, 3",0
"102, 3",.,"303, 3",0
"303, 3",.,"304, 4",0
"304, 4",.,125 (2,0
(2014),.,"


",1
ervice,.,  For ,1
lished,.,"

Se",1
ervice,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 11,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,303(a),0
303(a),.,  Serv,1
ervice,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,303(d),0
303(d),.,"

Se",1
isfied,:, (1) t,0
bility,;, (2) i,0
injury,;, and (,0
ervice,.,  Shed,1
dden v,., Princ,0
 381 F,.,3d 116,0
7 (Fed,., Cir. ,0
d. Cir,., 2004),0
 2004),;, see 3,0
e 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,303(a),0
303(a),.,"  

",1
ervice,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 1,0
.S.C.A,., § 111,0
§ 1111,.,  A hi,1
stment,.,  See ,1
e 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(b),0
(b)(1),.,  Howe,1
 issue,.,  See ,1
See id,.,"  

",1
ervice,.,  See ,1
ee § 3,.,304(b),0
304(b),;, Wagne,0
gner v,., Princ,0
 370 F,.,3d 108,0
6 (Fed,., Cir. ,0
d. Cir,., 2004),0
 2004),;, VAOPG,0
 2003),.,  Thus,1
ervice,.,  See ,1
C 3-03,.,  Rath,1
ervice,.,  See ,1
See id,.,; Wagn,0
ee id.,;, Wagne,0
 370 F,.,3d at ,0
t 1096,;, see a,0
Horn v,., Shins,0
25 Vet,., App. ,0
t. App,.," 231, ",0
"ness"")",.," 

V",1
r 38 U,.,S.C. §,0
38 U.S,.,C. § 1,0
 U.S.C,., § 111,0
dition,.,  Wagn,1
 370 F,.,3d at ,0
g 38 U,.,S.C. §,0
38 U.S,.,C. § 1,0
 U.S.C,., § 115,0
d 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,306 (2,0
2014)),;, but s,0
25 Vet,., App. ,0
t. App,., at 23,0
"n, § 3",.,"306, h",0
"1111"")",.,  If t,1
nefits,.,  Wagn,1
 370 F,.,3d at ,0
t 1096,.,"  

",1
butted,.,  See ,1
See id,., at 10,0
"1111"")",.,  In t,1
e made,.,  Id. ,1
e.  Id,., at 10,0
g 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,322). ,0
3.322),.,  In o,1
ervice,.,  Id. ,1
e.  Id,.," 

I",1
lished,.,  See ,1
26 Vet,., App. ,0
t. App,., at 53,0
25 Vet,., App. ,0
t. App,., at 23,0
t 236),.,  Neve,1
isease,.,  Id. ,1
e.  Id,., (citi,0
lton v,., Shins,0
 557 F,.,3d 136,0
7 (Fed,., Cir. ,0
d. Cir,., 2009),0
dness ,., . . d,0
ess . ,., . doe,0
s . . ,., does ,0
hereof,.,""")).
",0
"of.""))",.,"

Th",1
andard,.,  See ,1
rson v,.," West,",0
12 Vet,., App. ,0
t. App,.," 254, ",0
ndard),.,  It i,1
atable,.,"""  Cot",0
tant v,.," West,",0
17 Vet,., App. ,0
t. App,.," 116, ",0
osky v,., Brown,0
 4 Vet,., App. ,0
t. App,.," 331, ",0
1993)),.,"

Th",1
cision,.,  See ,1
e 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 7,0
.S.C.A,., § 710,0
 2014),;, Gonza,0
ales v,.," West,",0
 218 F,.,3d 137,0
1 (Fed,., Cir. ,0
d. Cir,., 2000),0
 2000),.,  The ,1
aimant,.,  Calu,1
luza v,., Brown,0
 7 Vet,., App. ,0
t. App,.," 498, ",0
(1995),.,  A cl,1
 claim,.,  See ,1
e 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 5,0
.S.C.A,., § 510,0
§ 5107,;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.1,0
R. § 3,.,102.  ,0
 3.102,.,  When,1
evails,.,  See ,1
bert v,., Derwi,0
 1 Vet,., App. ,0
t. App,.," 49, 5",0
(1990),.,  If t,1
denied,.,  See ,1
See id,.,; Alem,0
ee id.,;, Alema,0
many v,., Brown,0
 9 Vet,., App. ,0
t. App,.," 518, ",0
(1996),.,"

He",1
d PTSD,.,  Alth,1
ervice,.,  Thus,1
butted,.,  See ,1
bert v,., Shins,0
26 Vet,., App. ,0
t. App,.," 48, 5",0
rvice),.,  For ,1
butted,.,"

Th",1
oblems,.,  Ther,1
taches,.,  See ,1
e 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 1,0
.S.C.A,., § 111,0
§ 1111,;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(b),0
(b)(1),.,"   
",1
ervice,.,  More,1
 years,.,  In a,1
y 1981,.,  Fina,1
ervice,.,  Thus,1
e duty,.,"

Ho",1
ervice,.,  In f,1
posite,.,  For ,1
ervice,.,  In a,1
ession,.,  Fina,1
rience,.,"""  Thu",0
ervice,.,  Ther,1
sorder,.,  See ,1
 370 F,.,3d at ,0
t 1096,.,"

As",1
 claim,.,  More,1
r 1992,;, lette,0
h 2002,;, and V,0
y 1998,;, March,0
t 2001,;, March,0
r 2002,;, Septe,0
r 2003,;, Febru,0
r 2004,;, Janua,0
r 2005,;, Janua,0
r 2006,;, Janua,0
r 2007,;, Janua,0
y 2008,;, April,0
r 2010,;, Janua,0
y 2011,;, March,0
r 2012,;, Janua,0
r 2013,;, Janua,0
r 2014,;, and J,0
others,.,  Thus,1
ervice,.,  A ne,1
sician,.,  All ,1
ervice,.,"

Ac",1
sorder,.,  See ,1
e 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 5,0
.S.C.A,., § 510,0
107(b),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.1,0
R. § 3,.,102; G,0
 3.102,;, Gilbe,0
bert v,., Derwi,0
 1 Vet,., App. ,0
t. App,., 49 (1,0
(1990),.,"


",1
ranted,.,"


",1
"___
P",., M. DI,0
"
P. M",., DILOR,0
ion Nr,:, 15491,0
n Date,:, 11/20,0
e Date,:, 11/25,0
KET NO,.,  12-0,0
"S

1",., Entit,1
ition),.," 

2",1
" 

2",., Entit,1
dition,.," 

3",1
" 

3",., Entit,1
(TDIU),.,"
 
",1
ted by,:,	John ,0
John R,., Worma,0
e 1972,.," 

T",1
rolina,.,"

Th",1
 (AOJ),.,"


",1
"T

1",., The e,1
ervice,.," 

2",1
" 

2",., Resol,1
ervice,.," 

3",1
" 

3",., Resol,1
dition,.,"  

",1
"W

1",., The c,1
en met,., 38 U.,1
. 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 11,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. §§ ,0
 C.F.R,., §§ 3.,0
. §§ 3,.,"303, 3",0
"303, 3",.,304(b),0
"(b), 3",.,"306, 3",0
"306, 3",.,"307, 3",0
"307, 3",.,"309, 3",0
"309, 3",.,310 (2,0
(2015),.,"

2.",1
".

2",., The c,1
en met,., 38 U.,1
. 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 11,0
", 5107",;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. §§ ,0
 C.F.R,., §§ 3.,0
. §§ 3,.,"102, 3",0
"102, 3",.,"159, 3",0
"159, 3",.,"303, 3",0
"303, 3",.,"304, 3",0
"304, 3",.,"306, 3",0
"306, 3",.,307(a),0
"(6), 3",.,309(e),0
309(e),.,"


",1
ervice,., The B,1
ervice,., As su,1
ranted,.," 

G",1
bility,;, (2) m,0
injury,;, and (,0
injury,., See H,1
kson v,.," West,",0
12 Vet,., App. ,0
t. App,., 247 (,0
(1999),;, see a,0
 492 F,.,3d 137,0
2 (Fed,., Cir. ,0
d. Cir,., 2007),0
 2007),.,"  

",1
llment,;, or wh,0
ervice,., 38 U.,1
. 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 1,0
.S.C.A,., § 111,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(b),0
304(b),.," Thus,",1
 entry,., Howev,1
ervice,., Gilbe,1
bert v,., Shins,0
26 Vet,., App. ,0
t. App,.," 48, 5",0
(2012),., VA's ,1
r 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 1,0
.S.C.A,., § 111,0
ervice,., VAOPG,1
 2003),;, see a,0
gner v,., Princ,0
 370 F,.,3d 108,0
6 (Fed,., Cir. ,0
d. Cir,., 2004),0
 2004),.,"

Th",1
s back,.," 

A",1
ervice,., Preli,1
 entry,., The r,1
s back,.,"

In",1
s LBP),., Furth,1
aining,., Later,1
ervice,., The M,1
ervice,.," 

R",1
y 2015,., Upon ,1
ervice,., Howev,1
ndness,., In ot,1
as not,., Short,1
r 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 1,0
.S.C.A,., § 111,0
ucceed,.," 

T",1
dition,., While,1
onship,., In ot,1
lities,., In th,1
isting,., Such ,1
ervice,.," 

F",1
ervice,;, or th,0
ndness,., In fa,1
ve had,., As su,1
e made,.," 

A",1
bility,., To th,1
defect,., This ,1
ionals,., There,1
isfied,.," 
The",1
s STRs,., Speci,1
ervice,., The V,1
s back,., Such ,1
ection,.," 

F",1
record,.," Here,",1
dition,.," 

R",1
ervice,., Speci,1
"tor, F",.," A., f",0
", F. A",.,", foun",0
dition,., See M,1
from F,.," A., D",0
m F. A,.,", D. C",0
" A., D",.," C., d",0
", D. C",.,", date",0
", 2008",.," 

C",1
 nexus,., The V,1
y 2015,., In bo,1
ervice,., In bo,1
ervice,., There,1
ervice,.," 

T",1
ervice,., Howev,1
equate,., The V,1
uation,., That ,1
dition,., As su,1
weight,.," 

T",1
ionale,., Speci,1
injury,., Howev,1
juries,., The B,1
pinion,., As su,1
 value,.," 
 
",1
ervice,., There,1
ranted,.," 

S",1
herein,., The B,1
mons v,., Shins,0
23 Vet,., App. ,0
t. App,., 1 (20,0
 claim,;, the s,0
cribes,;, and t,0
claim),., The B,1
dition,., There,1
ranted,.," 

A",1
bility,., See V,1
elez v,.," West,",0
11 Vet,., App. ,0
t. App,.," 148, ",0
(1998),., In or,1
bility,;, (2) e,0
bility,;, and (,0
bility,., See W,1
llin v,.," West,",0
11 Vet,., App. ,0
t. App,.," 509, ",0
(1998),.,"

A ",1
nected,., When ,1
dition,., 38 C.,1
. 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,310(a),0
310(a),., Secon,1
bility,., In su,1
vation,., 38 C.,1
. 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,310(b),0
310(b),;, see A,0
llen v,., Brown,0
 7 Vet,., App. ,0
t. App,.," 439, ",0
(1995),.,"

He",1
"st, Dr",., J. C.,0
 Dr. J,., C. Af,0
. J. C,., After,1
trauma,., While,1
nected,.,  To t,1
is bed,., The e,1
y work,., There,1
ession,.," 

T",1
t hand,., The c,1
eteran,., Indee,1
960P-2,;, and i,0
record,.,"

As",1
dition,.," Here,",1
dition,., There,1
ranted,.,"   
",1
ranted,.," 

E",1
ranted,.," 

",1
a TDIU,., Altho,1
ration,.,"

As",1
twined,., There,1
itions,., See H,1
rris v,., Derwi,0
 1 Vet,., App. ,0
t. App,.," 180, ",0
ether),.,"

Ac",1
action,:,"

1.",1
":

1",., When ,1
icated,., If an,1
issues,., An ap,1
tative,., There,1
 order,.,"
The ",1
manded,.,  Kuts,1
usky v,.," West,",0
12 Vet,., App. ,0
t. App,., 369 (,0
(1999),.,"

Th",1
atment,.,  The ,1
manner,.,  See ,1
e 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 51,0
 2014),.,"


",1
DLEY W,., HENNI,0
ion Nr,:, 17015,0
n Date,:, 01/23,0
e Date,:, 02/09,0
KET NO,.,  11-2,0
"S

1",., Entit,1
lities,.,"

2.",1
".

2",., Entit,1
lities,.,"


",1
ted by,:,	Disab,0
"D

M",., Thoma,0
l 1999,.,"

Th",1
 Texas,.,  Juri,1
lorado,.,"

Th",1
earing,.,  Howe,1
tement,.,"

Af",1
cision,.,  In C,1
mons v,., Shins,0
23 Vet,., App. ,0
t. App,.," 1, 5 ",0
record,.,  In c,1
e page,.,"

In",1
nted J,., Micha,0
tative,.,  The ,1
tation,.,  See ,1
e 38 C,.,F.R. §,0
38 C.F,.,R. § 1,0
 C.F.R,., § 14.,0
. § 14,.,631(f),0
(f)(1),.,  At t,1
tative,.,"

Th",1
 (AOJ),.,"


",1
lities,.,"


",1
en met,., 38 U.,1
. 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 11,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. §§ ,0
 C.F.R,., §§ 3.,0
. §§ 3,.,"102, 3",0
"102, 3",.,"303, (",0
(2015),.,"


",1
stance,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 51,0
", 5126",;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. §§ ,0
 C.F.R,., §§ 3.,0
. §§ 3,.,"102, 3",0
"102, 3",.,156(a),0
"(a), 3",.,326(a),0
326(a),.,  Give,1
cision,.,  See ,1
nard v,., Brown,0
 4 Vet,., App. ,0
t. App,.," 384, ",0
(1993),.,"

Se",1
ervice,., 38 U.,1
. 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 11,0
", 1131",;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,303(a),0
303(a),.,  Esta,1
things,:, (1) a,0
bility,;, (2) i,0
injury,;, and (,0
"hip, i",.,"e., a ",0
"p, i.e",.,", a ne",0
bility,.,  Holt,1
lton v,., Shins,0
 557 F,.,3d 136,0
6 (Fed,., Cir. ,0
d. Cir,., 2009),0
 2009),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,303(a),0
303(a),.,"

Se",1
injury,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,310(a),0
310(a),.,  Such,1
isease,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,310(b),0
310(b),.,"  

",1
aimant,.,  Gabr,1
lson v,., Brown,0
 7 Vet,., App. ,0
t. App,.," 36, 3",0
(1994),;, Gilbe,0
bert v,., Derwi,0
 1 Vet,., App. ,0
t. App,.," 49, 5",0
(1990),.,  Comp,1
bility,.,  Comp,1
mitted,.,  Ruck,1
cker v,., Brown,0
